13:35:45 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
01:30:40, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
09 cancled election initiation [16 Mar 2011 06:33:45 GMT]
01:44:44, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 1
02:00:52, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 11
02:05:04, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
02:11:35, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:16:15, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:30:13, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:49:26, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
03:05:18, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
03:11:15, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
03:13:46, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
