Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
13:35:45 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
13:35:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, HTC Dream, GARBAGE, bluetooth discovery, true, fresh, 1
13:35:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 2
13:35:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 3
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth discovery, true, fresh, 4
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, asdf, GARBAGE, bluetooth discovery, true, fresh, 5
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, phone, 192.168.1.5, wifi_network, true, old, 5
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 5
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 5
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 5
13:35:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 5
13:37:08, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, asdf, GARBAGE, bluetooth_network, true, old, 5
13:37:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, HTC Dream, GARBAGE, bluetooth_network, true, old, 5
13:37:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth_network, true, old, 5
13:37:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 5
13:37:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth_network, true, old, 5
13:41:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, HTC Dream, GARBAGE, bluetooth_network, true, old, 5
13:41:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth_network, true, old, 5
13:41:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth_network, true, fresh, 6
13:41:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, asdf, GARBAGE, bluetooth_network, true, old, 6
13:41:36, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 6
13:44:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, phone, 192.168.1.9, wifi_network, true, old, 6
13:44:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
13:44:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
13:44:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
13:44:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
14:01:20, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, phone, 192.168.1.9, wifi_network, true, old, 6
14:01:20, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
14:01:20, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
14:01:20, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
14:01:20, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
14:01:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:E5:21, phone, 192.168.1.4, wifi_network, true, old, 6
14:01:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
14:01:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B9:0F, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 6
01:30:40, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, 01:10:03, 01:33:43
00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, ?, 01:33:43
01:44:44, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 1
02:00:52, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 11
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, 01:56:03, 02:01:35
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, ?, 02:01:35
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, ?, 02:01:35
00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, 01:10:03, 02:02:46
02:05:04, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, 01:10:03, 02:05:09
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, ?, 02:05:09
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, 01:56:06, 02:05:09
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, ?, 02:05:09
00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, ?, 02:05:09
02:11:35, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:16:15, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, 02:12:04, 02:16:33
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, ?, 02:16:33
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, ?, 02:16:34
00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, 01:10:03, 02:16:34
02:30:13, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, 02:26:04, 02:30:29
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, ?, 02:30:29
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, ?, 02:30:29
02:49:26, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, 02:47:47, 02:49:40
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, ?, 02:49:40
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, ?, 02:49:40
00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, 01:10:03, 02:50:44
03:05:18, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, 03:02:06, 03:05:25
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, ?, 03:05:25
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, ?, 03:05:25
00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, 01:10:03, 03:07:47
03:11:15, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, 03:11:16, 03:11:23
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, 03:11:20, 03:11:36
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, ?, 03:11:38
03:13:46, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, 03:13:44, 03:13:50
00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, 03:13:42, 03:15:01
00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, ?, 03:15:01
