05:43:08, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, 05:28:06, 05:43:15
05:44:47, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
05:47:56, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
06:06:04, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, 05:51:03, 06:06:23
00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, 01:10:03, 01:09:11
01:29:22, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth discovery, ?, 01:29:29
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth discovery, ?, 01:29:46
01:40:54, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 1
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth discovery, ?, 01:41:01
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth discovery, ?, 01:41:26
01:56:05, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, 01:56:05, 01:56:22
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, 01:56:06, 01:56:24
00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, 02:00:51, 02:01:40
00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, 01:10:03, 02:03:27
02:03:38, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth discovery, ?, 02:03:44
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth discovery, ?, 02:03:45
00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, 01:10:03, 02:06:18
00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, ?, 02:06:18
02:12:04, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth discovery, ?, 02:12:13
00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, 01:10:03, 02:14:43
00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, ?, 02:14:44
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth_network, 02:12:04, 02:14:44
02:26:05, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth discovery, ?, 02:26:11
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth discovery, ?, 02:26:13
00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, 02:30:13, 02:30:30
02:47:45, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth discovery, ?, 02:47:51
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth discovery, ?, 02:47:52
00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, 02:49:26, 02:50:23
03:02:05, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, 03:02:07, 03:02:14
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, 03:02:06, 03:02:22
03:11:21, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, 03:11:16, 03:11:34
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, ?, 03:11:34
03:13:47, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, 03:13:42, 03:14:00
00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, 03:13:45, 03:14:00
00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth discovery, ?, 03:14:01
