13:35:45 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
13:35:46, 00:23:D4:6A:B6:B9, 0
13:35:46, 00:23:D4:6A:B6:B9, 1
13:35:57, 00:23:D4:6A:B6:B9, 1
13:35:57, 00:23:D4:6A:B6:B9, 0
13:44:24, 00:23:D4:6A:B6:B9, 0
13:44:24, 00:23:D4:6A:B6:B9, 1
13:44:34, 00:23:D4:6A:B6:B9, 1
13:44:34, 00:23:D4:6A:B6:B9, 0
14:01:09, 00:23:D4:6A:B6:B9, 0
14:01:09, 00:23:D4:6A:B6:B9, 1
14:01:25, 00:23:D4:6A:B6:B9, 1
14:01:25, 00:23:D4:6A:B6:B9, 0
01:30:40, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
01:30:41, 00:23:D4:6A:B6:B9, 0
01:30:41, 00:23:D4:6A:B6:B9, 1
01:37:29, 00:23:D4:6A:B6:B9, 1
01:37:29, 00:23:D4:6A:B6:B9, 0
01:44:44, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 1
01:44:45, 00:23:D4:6A:B6:B9, 0
01:44:45, 00:23:D4:6A:B6:B9, 1
02:00:52, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 11
02:00:53, 00:23:D4:6A:B6:B9, 0
02:00:53, 00:23:D4:6A:B6:B9, 1
02:05:04, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 
02:05:05, 00:23:D4:6A:B6:B9, 0
02:05:05, 00:23:D4:6A:B6:B9, 1
02:09:21, 00:23:D4:6A:B6:B9, 1
02:09:21, 00:23:D4:6A:B6:B9, 0
02:11:35, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:11:36, 00:23:D4:6A:B6:B9, 0
02:11:36, 00:23:D4:6A:B6:B9, 1
02:16:15, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:16:15, 00:23:D4:6A:B6:B9, 0
02:16:15, 00:23:D4:6A:B6:B9, 1
02:30:13, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:30:14, 00:23:D4:6A:B6:B9, 0
02:30:14, 00:23:D4:6A:B6:B9, 1
02:49:26, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
02:49:27, 00:23:D4:6A:B6:B9, 0
02:49:27, 00:23:D4:6A:B6:B9, 1
03:05:18, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
03:05:19, 00:23:D4:6A:B6:B9, 0
03:05:19, 00:23:D4:6A:B6:B9, 1
03:11:15, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
03:11:16, 00:23:D4:6A:B6:B9, 0
03:11:16, 00:23:D4:6A:B6:B9, 1
03:13:46, 00:23:D4:6A:B6:B9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 5, 
03:13:47, 00:23:D4:6A:B6:B9, 0
03:13:47, 00:23:D4:6A:B6:B9, 1
