05:43:08, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
05:43:09, 00:23:D4:68:E1:E9, 0
05:43:09, 00:23:D4:68:E1:E9, 1
05:44:47, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
05:44:47, 00:23:D4:68:E1:E9, 0
05:44:47, 00:23:D4:68:E1:E9, 1
05:47:56, 00:23:D4:68:E1:E9, 0
05:47:56, 00:23:D4:68:E1:E9, 1
05:47:56, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
06:06:04, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
06:06:05, 00:23:D4:68:E1:E9, 0
06:06:05, 00:23:D4:68:E1:E9, 1
01:29:22, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 
01:29:22, 00:23:D4:68:E1:E9, 0
01:29:22, 00:23:D4:68:E1:E9, 1
01:31:56, 00:23:D4:68:E1:E9, 1
01:31:56, 00:23:D4:68:E1:E9, 0
01:33:39, 00:23:D4:68:E1:E9, 0
01:33:39, 00:23:D4:68:E1:E9, 1
01:37:54, 00:23:D4:68:E1:E9, 1
01:37:54, 00:23:D4:68:E1:E9, 0
01:40:54, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 1
01:40:55, 00:23:D4:68:E1:E9, 0
01:40:55, 00:23:D4:68:E1:E9, 1
01:43:34, 00:23:D4:68:E1:E9, 1
01:43:34, 00:23:D4:68:E1:E9, 0
01:48:59, 00:23:D4:68:E1:E9, 0
01:48:59, 00:23:D4:68:E1:E9, 1
01:56:05, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
01:56:06, 00:23:D4:68:E1:E9, 0
01:56:06, 00:23:D4:68:E1:E9, 1
01:57:28, 00:23:D4:68:E1:E9, 1
01:57:28, 00:23:D4:68:E1:E9, 0
02:00:19, 00:23:D4:68:E1:E9, 0
02:00:19, 00:23:D4:68:E1:E9, 1
02:03:38, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
02:03:39, 00:23:D4:68:E1:E9, 0
02:03:39, 00:23:D4:68:E1:E9, 1
02:03:50, 00:23:D4:68:E1:E9, 1
02:03:50, 00:23:D4:68:E1:E9, 0
02:08:40, 00:23:D4:68:E1:E9, 0
02:08:40, 00:23:D4:68:E1:E9, 1
02:08:51, 00:23:D4:68:E1:E9, 1
02:08:51, 00:23:D4:68:E1:E9, 0
02:12:04, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 2, 11
