06:53:31, 00:23:D4:6A:BF:DE, 192.168.1.3, false
06:54:44, 00:23:D4:6A:BF:DE, GARBAGE, false
06:56:29, 00:23:D4:6A:BF:DE, GARBAGE, false
07:01:18, 00:23:D4:6A:BF:DE, GARBAGE, false
07:02:54, 00:23:D4:6A:BF:DE, GARBAGE, false
07:04:10, 00:23:D4:6A:BF:DE, GARBAGE, false
07:04:31, 00:23:D4:6A:BF:DE, GARBAGE, false
07:04:54, 00:23:D4:6A:BF:DE, GARBAGE, false
07:06:15, 00:23:D4:6A:BF:DE, 192.168.1.10, false
07:06:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:06:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:06:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:08:14, 00:23:D4:6A:BF:DE, GARBAGE, false
07:14:51, 00:23:D4:6A:BF:DE, GARBAGE, false
07:18:09, 00:23:D4:6A:BF:DE, GARBAGE, false
07:19:20, 00:23:D4:6A:BF:DE, GARBAGE, false
07:21:22, 00:23:D4:6A:BF:DE, GARBAGE, false
07:24:48, 00:23:D4:6A:BF:DE, GARBAGE, false
07:29:08, 00:23:D4:6A:BF:DE, GARBAGE, false
07:34:14, 00:23:D4:6A:BF:DE, GARBAGE, false
07:36:56, 00:23:D4:6A:BF:DE, GARBAGE, false
07:40:07, 00:23:D4:6A:BF:DE, GARBAGE, false
07:47:11, 00:23:D4:6A:BF:DE, 192.168.1.6, false
07:47:11, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:47:11, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:47:11, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:47:11, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:47:59, 00:23:D4:6A:BF:DE, GARBAGE, false
07:48:35, 00:23:D4:6A:BF:DE, 192.168.1.6, false
07:48:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:48:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:48:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:48:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
07:50:42, 00:23:D4:6A:BF:DE, GARBAGE, false
07:56:54, 00:23:D4:6A:BF:DE, GARBAGE, false
08:01:32, 00:23:D4:6A:BF:DE, 192.168.1.6, false
08:01:32, 00:23:D4:6A:BF:DE, GARBAGE IP, true
08:01:32, 00:23:D4:6A:BF:DE, GARBAGE IP, true
08:01:32, 00:23:D4:6A:BF:DE, GARBAGE IP, true
08:01:32, 00:23:D4:6A:BF:DE, GARBAGE IP, true
08:02:16, 00:23:D4:6A:BF:DE, GARBAGE, false
08:03:54, 00:23:D4:6A:BF:DE, GARBAGE, false
08:07:09, 00:23:D4:6A:BF:DE, GARBAGE, false
08:17:06, 00:23:D4:6A:BF:DE, GARBAGE, false
08:20:53, 00:23:D4:6A:BF:DE, GARBAGE, false
08:22:40, 00:23:D4:6A:BF:DE, GARBAGE, false
08:23:48, 00:23:D4:6A:BF:DE, 192.168.1.9, true
