06:57:01, 00:23:D4:6A:F5:43, 192.168.1.1, true
07:21:29, 00:23:D4:6A:F5:43, 192.168.1.8, true
07:21:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:21:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:21:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:21:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:21:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:29:58, 00:23:D4:6A:F5:43, 192.168.1.10, true
07:29:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:29:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:29:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:30:39, 00:23:D4:6A:F5:43, 192.168.1.10, true
07:30:39, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:30:40, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:30:40, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:31:35, 00:23:D4:6A:F5:43, GARBAGE, true
07:33:28, 00:23:D4:6A:F5:43, 192.168.1.1, true
07:33:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:33:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:33:29, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:35:53, 00:23:D4:6A:F5:43, GARBAGE, true
07:40:32, 00:23:D4:6A:F5:43, GARBAGE, true
07:47:10, 00:23:D4:6A:F5:43, GARBAGE, true
07:51:34, 00:23:D4:6A:F5:43, GARBAGE, true
07:57:23, 00:23:D4:6A:F5:43, GARBAGE, true
08:01:18, 00:23:D4:6A:F5:43, GARBAGE, true
08:04:46, 00:23:D4:6A:F5:43, 192.168.1.11, true
08:04:46, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:04:46, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:04:46, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:04:46, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:05:50, 00:23:D4:6A:F5:43, GARBAGE, true
08:10:44, 00:23:D4:6A:F5:43, GARBAGE, true
