00:18:56, 18:00:01, Battery: level = 29, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3711
UConnect Schedule  prime=7
00:18:58, 00:23:D4:6A:BB:92, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, 1
00:19:02, 18:00:07, Battery: level = 30, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3780, active bt peers=0, potential bt peers=6
00:22:31, 18:03:36, Battery: level = 31, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3805, active bt peers=0, potential bt peers=6
00:26:01, 18:07:05, Battery: level = 32, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3803, active bt peers=0, potential bt peers=6
00:58:40, 18:00:00, Battery: level = 28, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3671
00:58:49, 00:23:D4:6A:BB:92, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 6, null
00:58:59, 18:00:19, Battery: level = 27, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3669, active bt peers=0, potential bt peers=6
01:08:34, 18:09:53, Battery: level = 26, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3669, active bt peers=0, potential bt peers=6
01:10:00, 18:11:20, Battery: level = 25, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3688, active bt peers=0, potential bt peers=6
01:10:33, 18:11:53, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3688, active bt peers=0, potential bt peers=6
01:12:00, 18:00:52, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3688
01:13:03, 18:01:55, Battery: level = 23, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3688
01:16:00, 18:04:52, Battery: level = 22, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3670
01:18:04, 18:06:55, Battery: level = 21, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3670
01:21:00, 18:09:51, Battery: level = 20, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3676
01:23:30, 18:12:21, Battery: level = 19, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3648
01:24:00, 18:12:51, Battery: level = 18, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3644
01:30:31, 18:19:22, Battery: level = 17, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3657
01:31:01, 18:19:52, Battery: level = 16, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3652
01:32:32, 18:21:23, Battery: level = 15, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3652
01:35:01, 18:23:52, Battery: level = 14, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3647
01:36:01, 18:24:52, Battery: level = 13, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3644
01:37:02, 18:25:53, Battery: level = 12, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3642
01:39:02, 18:27:53, Battery: level = 11, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3625
01:40:01, 18:28:52, Battery: level = 10, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3636
01:41:01, 18:29:52, Battery: level = 9, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3632
01:41:32, 18:30:23, Battery: level = 8, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3625
01:46:31, 18:35:23, Battery: level = 7, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3625
01:52:01, 18:40:52, Battery: level = 6, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3621
01:52:01, 18:40:53, Battery: level = 5, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3616
01:53:30, 18:42:21, Battery: level = 4, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3591
01:54:00, 18:42:51, Battery: level = 3, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3587
02:00:31, 18:49:22, Battery: level = 2, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3609
02:14:01, 19:02:52, Battery: level = 1, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3556
02:17:31, 19:06:22, Battery: level = 0, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3500
