03:47:58 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
03:47:59, 00:23:D4:68:E1:E9, 0
03:47:59, 00:23:D4:68:E1:E9, 1
05:17:37, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
05:17:38, 00:23:D4:68:E1:E9, 0
05:17:38, 00:23:D4:68:E1:E9, 1
05:26:25, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
05:26:25, 00:23:D4:68:E1:E9, STARTING NEW INSTANCE, POTENTIAL NEIGHBORS = 3
05:26:26, 00:23:D4:68:E1:E9, 0
05:26:26, 00:23:D4:68:E1:E9, 1
05:26:26, 00:23:D4:68:E1:E9, 0
05:26:26, 00:23:D4:68:E1:E9, 1
