08:40:49, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
08:40:50, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
08:40:52, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
08:40:52, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
08:41:28, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
08:45:00, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
08:45:01, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
08:45:01, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
08:45:02, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, true, update
08:45:03, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, update
08:46:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, true, update
