22:51:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
22:51:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
22:51:12, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
22:52:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
22:52:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:52:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:52:27, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
22:52:46, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
22:52:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:52:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
22:52:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:52:47, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
22:53:22, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
22:53:22, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:53:22, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
22:53:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:53:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
22:53:37, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
22:53:37, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:53:37, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:03:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
23:03:54, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, true, update
23:03:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
23:03:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
23:04:04, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
23:04:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
23:04:30, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
23:04:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
23:04:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:05:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
23:05:16, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
23:05:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
23:05:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:06:22, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
23:06:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
23:06:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
23:06:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:06:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
23:16:50, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
23:18:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
23:18:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
23:18:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:18:14, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
23:19:11, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
23:19:11, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
23:19:11, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:19:12, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
23:19:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
23:19:20, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
23:19:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
23:19:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, wifi_network, true, update
23:19:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
23:20:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
23:20:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
23:20:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
23:20:49, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
23:20:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
23:25:29, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
23:34:07, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, update
23:34:10, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
23:36:13, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, update
23:36:13, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, wifi_network, true, update
