22:50:17, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
22:50:17, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
22:50:17, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
22:51:06, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
22:51:21, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, true, update
22:51:21, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, true, update
22:51:21, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, true, update
22:51:21, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:53:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
22:54:54, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
22:54:54, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, true, update
22:54:54, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, true, update
22:54:54, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:54:54, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, true, update
23:13:01, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
23:13:01, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
23:13:01, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
23:13:01, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
23:32:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
23:32:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
23:54:38, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
23:54:38, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
23:54:38, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
