22:52:21, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
22:52:21, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
22:52:21, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, wifi_network, false, fresh
22:52:21, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
22:52:22, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
22:52:22, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:52:22, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:52:25, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
22:52:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
22:52:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, true, update
22:52:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:52:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
22:52:31, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
22:52:33, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
22:54:50, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
22:54:50, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, wifi_network, true, update
22:54:50, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, true, update
22:54:50, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, true, update
22:54:50, 00:23:D4:6A:D1:B8, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
22:54:54, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
22:54:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, wifi_network, true, update
22:54:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, true, update
22:54:55, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, true, update
22:54:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
22:56:14, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
22:56:14, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
22:56:15, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
22:56:15, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
23:18:08, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
23:18:09, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
23:18:09, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, wifi_network, false, fresh
23:18:09, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
23:18:16, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, update
23:19:10, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
23:19:10, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
23:19:10, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, wifi_network, false, fresh
23:19:10, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
23:20:43, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
23:20:43, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
