00:00:32, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
00:00:33, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
00:00:33, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
00:01:08, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
00:01:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, true, update
00:01:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:01:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, wifi_network, true, update
00:01:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
00:01:10, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:01:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:01:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:09:38, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
00:09:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
00:09:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:09:45, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:09:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
00:09:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:09:45, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:09:46, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
00:09:47, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
00:09:47, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:09:47, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:10:53, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
00:10:53, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:10:53, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:10:53, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:10:54, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
00:10:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, true, update
00:10:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, true, update
00:10:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, wifi_network, true, update
00:10:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:31:29, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
00:33:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
00:33:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:33:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:33:22, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:34:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
00:34:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:34:54, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:34:54, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:39:16, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
00:39:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:39:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:39:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:39:32, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
00:39:32, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:39:32, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:39:32, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:41:30, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
00:41:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:41:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:41:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:41:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
00:41:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:41:57, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:41:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
00:47:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
00:47:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:47:57, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
00:47:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:48:49, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
