00:00:29, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:00:32, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
00:00:33, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
00:00:36, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, fresh
00:02:27, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
00:02:27, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:02:27, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:02:27, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:03:02, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
00:03:02, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:03:03, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:03:03, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:06:24, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, update
00:06:24, 00:23:D4:6A:22:09, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:08:58, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, update
00:09:02, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, update
00:09:46, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, update
00:09:46, 00:23:D4:6A:22:09, 00:23:D4:6A:22:09, wifi_network, false, fresh
00:09:46, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, true, update
00:09:47, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:09:47, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:09:47, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:09:47, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:09:47, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:12:12, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
00:42:02, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:42:02, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:42:02, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:42:02, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:42:02, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:55:50, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
00:55:50, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:55:50, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
00:55:50, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:55:50, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:58:18, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
00:58:18, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:58:18, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:58:18, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:58:18, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
