01:15:30, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
01:15:32, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
01:15:32, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
01:16:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
01:16:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, true, update
01:32:55, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
01:33:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
01:33:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, true, update
01:33:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, wifi_network, true, update
01:33:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:33:21, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, wifi_network, true, update
01:38:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
01:38:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
01:38:56, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:38:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
01:50:43, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, update
01:51:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:51:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
01:51:03, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:51:03, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:00:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:00:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:00:34, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
