01:13:06, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:13:07, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
01:13:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
01:13:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:13:08, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
01:13:13, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
01:13:34, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
01:14:50, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
01:14:50, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, true, update
01:14:50, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:31:39, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
01:31:39, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
01:32:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
01:32:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
01:32:23, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:32:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
01:32:53, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
01:32:53, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
01:32:53, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:32:53, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
01:32:55, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
01:32:55, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, true, update
01:32:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:32:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, wifi_network, true, update
01:32:56, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, wifi_network, true, update
01:37:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:37:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:37:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
01:37:07, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:37:09, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
01:37:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, true, update
01:37:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, wifi_network, true, update
01:37:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, true, update
01:48:13, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:48:13, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
01:48:13, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:48:13, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
