01:13:06, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:13:07, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
01:13:07, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
01:13:07, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:13:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
01:13:17, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
01:13:21, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
01:13:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
01:13:54, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, true, update
01:13:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:13:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
01:14:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
01:14:25, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, true, update
01:14:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:14:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
01:14:48, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
01:14:48, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:14:48, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:14:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:14:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:14:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:14:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
01:14:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:14:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:15:25, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:15:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
01:31:59, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
01:31:59, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:32:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
01:32:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:32:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:32:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:32:26, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:32:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
01:32:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:32:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:32:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:32:52, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:33:42, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
01:33:42, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:33:42, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:33:42, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:33:42, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:38:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:38:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:38:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:38:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:38:52, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:40:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:40:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:40:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
01:40:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:40:20, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:42:17, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
01:42:17, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:42:17, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:42:17, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:42:18, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:00:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:00:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
02:00:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:00:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
02:00:30, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
02:00:35, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
