01:12:34, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:12:49, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
01:12:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, true, fresh
01:13:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
01:13:48, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
01:13:48, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:13:48, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, true, update
01:13:48, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, true, update
01:44:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
01:44:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
01:44:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:44:36, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:44:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:09:05, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
02:09:05, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
02:09:05, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
02:09:05, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
02:09:06, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
