02:24:16, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
02:24:17, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
02:24:17, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
02:24:39, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:24:39, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:25:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:25:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:25:11, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
02:25:11, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, true, update
02:25:11, 00:23:D4:6A:87:DE, 00:23:D4:6A:87:DE, wifi_network, false, fresh
02:25:11, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, wifi_network, true, update
02:31:20, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
02:34:01, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:34:01, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:34:01, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
02:34:01, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:56:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:56:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:56:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
02:56:58, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:59:33, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
02:59:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
02:59:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:59:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
