02:27:39, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:27:39, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:27:43, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:27:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
02:27:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
02:27:47, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
02:28:03, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
02:28:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
02:28:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, wifi_network, true, update
02:28:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, true, update
02:28:30, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, wifi_network, true, update
02:28:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
02:37:32, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:37:32, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:37:33, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:37:33, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:39:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:39:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:39:12, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:39:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:39:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:39:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:39:16, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:39:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:52:41, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:52:41, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
02:52:41, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
02:52:41, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
02:52:49, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
02:56:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:56:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:56:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
02:56:07, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
