02:27:42, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
02:27:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
02:27:52, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
02:27:52, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
02:27:53, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
02:28:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, true, update
02:28:34, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, wifi_network, true, update
02:28:34, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, true, update
02:28:34, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:28:34, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, true, update
03:01:15, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:01:15, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
03:01:15, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
03:01:15, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
