02:22:27, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
02:22:27, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
02:22:44, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
02:23:32, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
02:24:01, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
02:24:01, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:24:01, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
02:24:01, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
02:25:01, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:25:01, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
02:25:01, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:25:01, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
02:26:14, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
02:26:14, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
02:26:21, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:32:29, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, update
02:34:06, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:34:06, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
02:34:06, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
02:34:06, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
02:34:06, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
02:53:51, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, update
