18:55:51, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:55:51, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:55:54, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, fresh
18:56:00, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
18:57:24, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:57:24, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:57:24, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:58:10, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:58:10, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:58:10, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:58:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, update
18:58:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, true, update
18:58:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:58:45, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, update
18:58:45, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, true, update
18:58:45, 00:23:D4:6A:A4:E2, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:02:52, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
19:02:52, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
19:02:52, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
19:04:49, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, update
19:04:49, 00:23:D4:6A:A4:E2, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:04:49, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, true, update
19:09:31, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
19:09:31, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
19:09:31, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
