18:53:48, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
18:54:28, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:55:00, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
18:55:00, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:55:00, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:55:00, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:57:41, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
18:58:10, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:58:10, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:58:10, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:58:26, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
18:58:26, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, true, update
18:58:26, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
19:05:47, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
19:05:47, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
19:05:47, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
19:06:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
19:06:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:06:08, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
19:06:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
19:06:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:06:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
19:06:58, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
19:06:58, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:07:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
19:07:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:07:50, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
19:07:50, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
19:08:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
19:08:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
19:08:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
