20:12:18, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
20:12:21, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
20:12:36, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, update
20:12:36, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, true, update
20:12:36, 00:23:D4:69:79:1C, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:16:23, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
20:16:29, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:16:29, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:17:15, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:17:15, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:18:18, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
20:29:13, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:29:13, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:29:13, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:29:27, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:29:27, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:29:28, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:30:20, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:30:20, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:30:20, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:31:12, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:31:12, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:31:12, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:32:03, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
20:32:04, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:32:04, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:32:04, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
20:32:04, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:32:04, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
20:41:46, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:41:46, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:41:46, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:41:47, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
20:41:47, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:41:47, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
20:42:28, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
20:42:28, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:42:28, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
20:44:35, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:44:35, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:54:19, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
20:54:19, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:54:19, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
