20:19:19, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
20:19:20, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
20:19:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:19:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:19:51, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:20:43, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
20:20:43, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:20:43, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:21:46, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
20:21:46, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, true, update
20:21:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:21:49, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:21:49, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:29:31, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
20:29:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:29:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:36:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:36:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:36:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:36:38, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, true, update
20:38:12, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:38:12, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:38:13, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:38:53, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:38:53, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:38:53, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:38:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:38:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:45:59, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:45:59, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:45:59, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:48:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
20:48:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:48:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:49:16, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:49:16, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:49:16, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:49:17, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:49:17, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:49:17, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:49:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
20:49:19, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, true, update
20:49:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
