20:12:04, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, fresh
20:13:18, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
20:13:21, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:13:21, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:13:21, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:13:52, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:13:52, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:13:52, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:14:34, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, update
20:14:55, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
20:15:24, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:15:24, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:16:12, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:16:12, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:16:16, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, update
20:17:04, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:17:04, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:17:04, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:17:11, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, true, update
20:30:33, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:30:33, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:31:19, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:31:19, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:36:27, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:36:27, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:36:27, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:38:56, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:38:56, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:38:56, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:38:56, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:38:56, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:38:56, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:44:47, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
20:46:03, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:46:03, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:46:03, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:46:23, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:46:23, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
20:46:23, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:47:15, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:47:15, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:47:15, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
