20:19:01, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
20:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:19:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:20:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:20:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:20:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:20:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:20:17, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:20:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:20:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
20:20:38, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:20:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
20:20:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:20:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
20:21:49, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
20:24:18, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
20:24:18, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:24:18, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
20:25:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
20:25:12, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
20:25:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
20:41:52, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:41:52, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:41:52, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:42:30, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
20:42:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
20:42:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
20:42:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:42:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:42:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:43:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
20:43:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
20:43:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
20:54:03, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
20:54:03, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
