21:13:55, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
21:13:55, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
21:13:59, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
21:13:59, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
21:14:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
21:14:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
21:14:45, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:14:45, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:14:52, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
21:14:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
21:14:53, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:15:36, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
21:15:36, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
21:15:36, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:15:37, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:15:37, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:15:37, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:16:07, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:16:07, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:16:28, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:16:28, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:16:28, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:17:21, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:17:21, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:17:21, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:26:44, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
21:26:44, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
21:27:29, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:27:29, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:27:29, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:29:58, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:29:58, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:29:58, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:39:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:39:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:40:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:40:09, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:41:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:41:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:43:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
21:43:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
21:43:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:59:10, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
21:59:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:59:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
22:00:28, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
22:00:28, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
22:00:28, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
22:00:57, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
22:00:57, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:00:57, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
22:01:48, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
22:01:48, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
22:01:48, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
