21:08:34, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
21:08:37, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
21:10:14, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, update
21:10:14, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, update
21:10:14, 00:23:D4:69:79:1C, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:10:15, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:14:26, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
21:15:37, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
21:15:37, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
21:15:37, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:15:39, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:15:39, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:15:39, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:16:05, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
21:16:05, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, true, update
21:30:56, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:30:56, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:30:56, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:31:42, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:31:42, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:31:42, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:32:23, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:32:23, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:32:23, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:33:56, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:33:56, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:33:56, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:55:48, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, true, update
21:59:14, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:59:14, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:59:14, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
