21:12:19, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
21:12:19, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
21:12:25, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
21:12:48, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
21:19:03, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:19:03, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:19:03, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:20:37, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:20:37, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:20:37, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:21:39, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
21:21:39, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
21:21:39, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:36:02, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:36:02, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:36:02, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:36:07, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:36:07, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:36:07, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:36:27, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:36:27, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:36:27, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:36:59, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:36:59, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:36:59, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:37:50, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
21:37:50, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
21:37:50, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
21:37:54, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:37:54, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:37:54, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:38:44, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:38:44, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:38:46, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:38:46, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
21:38:46, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
21:58:58, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
21:58:58, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, true, update
21:58:58, 00:23:D4:6A:22:09, 00:23:D4:6A:22:09, wifi_network, false, fresh
22:04:38, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
22:04:38, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
22:04:38, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:04:59, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
22:04:59, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
22:04:59, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:05:39, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
22:05:39, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
22:05:39, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
22:06:20, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
22:06:20, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, wifi_network, false, fresh
22:06:20, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
