21:13:11, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:13:16, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
21:13:16, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
21:14:23, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:14:23, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:14:51, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
21:14:51, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
21:14:52, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:15:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:15:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:15:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:17:26, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
21:23:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:23:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:23:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:23:37, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:23:37, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:23:37, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:24:13, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:24:13, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:24:13, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:24:54, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:24:54, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:24:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
21:24:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
21:25:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
21:25:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, wifi_network, false, fresh
21:25:04, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
21:26:46, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
21:26:46, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
