14:49:32, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
14:49:36, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
14:50:18, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:51:04, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:51:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:51:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:52:01, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:52:01, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:52:02, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:52:15, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, update
14:59:16, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:59:16, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:59:16, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:59:16, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
15:00:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
15:00:33, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
15:01:29, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
15:01:29, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
15:11:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:11:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:12:03, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:12:03, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:13:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:13:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:14:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
15:14:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
15:19:47, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
15:19:47, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
15:19:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:19:49, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:20:24, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:20:24, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:21:05, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:21:05, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
