14:49:42, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
14:49:43, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
14:50:49, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:50:49, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:51:56, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:51:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:52:03, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
14:52:12, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:52:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:52:38, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
15:03:24, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
15:03:24, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
15:04:21, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
15:04:21, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
15:04:29, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:04:29, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:05:11, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:05:11, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:05:46, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:05:46, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:05:48, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
15:05:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
15:06:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
15:06:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
15:16:28, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
15:16:28, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
15:17:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
15:17:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
15:18:02, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:18:02, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:18:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
15:18:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
15:19:33, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:19:33, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:19:34, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:19:34, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
