14:54:01, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:54:07, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, fresh
14:54:52, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:55:31, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, update
14:55:31, 00:23:D4:6A:A4:E2, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
15:04:14, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
15:04:14, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:04:14, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
15:04:25, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
15:04:25, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:04:25, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
15:04:58, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:04:58, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:05:16, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
15:05:16, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:05:16, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
15:05:19, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:05:19, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:05:30, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
15:05:30, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
15:06:08, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
15:06:08, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:06:08, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
15:06:40, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:06:40, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:12:18, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
15:12:18, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
15:12:18, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:12:59, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
15:12:59, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
15:12:59, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:14:15, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:14:16, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:14:42, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:14:42, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:14:42, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
15:14:42, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
15:14:42, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:15:13, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
15:15:13, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
15:19:52, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:19:52, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:19:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
15:19:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
15:19:53, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:20:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
15:20:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
15:20:44, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
15:20:54, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:20:54, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
