14:48:38, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
14:50:11, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:50:12, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:50:16, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, update
14:50:16, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:50:16, 00:23:D4:69:79:1C, 00:23:D4:69:79:1C, wifi_network, false, fresh
14:50:16, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:50:17, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:53:52, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:55:19, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:56:13, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:56:13, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:56:14, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:56:15, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:56:24, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:56:26, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:56:44, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:56:44, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:57:15, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:57:16, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:57:16, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:57:17, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
15:08:35, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
15:08:35, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
15:09:27, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
15:09:27, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
15:10:18, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
15:10:18, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
15:10:55, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:10:55, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
15:10:59, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
15:10:59, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
