16:17:14, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:17:14, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:17:41, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, fresh
16:18:07, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:18:07, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, true, update
16:18:07, 00:23:D4:6A:A4:E2, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:21:20, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:21:56, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:21:56, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:22:11, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:23:14, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:23:14, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:23:14, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:23:38, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:23:39, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:24:05, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:25:10, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:25:10, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:25:11, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:25:11, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:25:11, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:29:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:29:53, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:29:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
16:30:40, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:30:40, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:31:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:31:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:31:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:31:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:32:13, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:32:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:32:23, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:32:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, wifi_network, false, fresh
16:32:24, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:32:24, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:33:51, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:33:51, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:40:49, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:40:49, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:40:49, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:41:40, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:41:40, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:47:21, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:47:21, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:48:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:48:23, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:48:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:48:26, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:48:26, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:49:05, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:49:05, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:49:18, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:49:18, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:49:24, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:49:24, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:50:10, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:50:10, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:56:16, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:56:16, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:56:16, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:57:07, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:57:08, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:57:08, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:57:08, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:57:08, 00:23:D4:6A:A4:E2, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:57:56, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:57:56, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:58:50, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:58:50, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
17:05:35, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
17:05:35, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
17:05:40, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
17:05:40, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, wifi_network, false, fresh
17:06:30, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:06:30, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
17:06:33, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
17:06:33, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
17:06:46, 00:23:D4:6A:A4:E2, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:06:46, 00:23:D4:6A:A4:E2, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
17:07:25, 00:23:D4:6A:A4:E2, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
17:07:25, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, wifi_network, false, fresh
