16:23:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:23:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:23:35, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:23:35, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:23:39, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, fresh
16:24:01, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:24:01, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:24:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:24:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:25:06, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:25:06, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:25:06, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:25:10, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:25:10, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:25:16, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:25:16, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:25:18, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:25:18, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:25:32, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:25:32, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:25:32, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:25:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:25:33, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
