16:23:07, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
16:23:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, true, update
16:28:56, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:28:56, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:29:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:29:44, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:29:44, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
16:30:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:30:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:30:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:30:35, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:30:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
16:31:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:31:43, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:31:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
16:32:03, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, true, update
16:33:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:33:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:40:50, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
16:40:50, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:40:50, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
16:40:51, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:40:51, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:41:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:41:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:42:58, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:42:58, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:43:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
16:43:12, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, wifi_network, false, fresh
16:43:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
16:50:23, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:50:23, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:51:14, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:51:14, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:51:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:51:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:51:56, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:51:56, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:52:47, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:52:47, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
