17:55:26, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:56:12, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:56:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
17:56:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:57:45, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
17:58:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:58:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:58:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:59:48, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
17:59:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
17:59:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:00:38, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:00:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:00:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:00:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:01:50, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:01:52, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:02:21, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:02:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:02:23, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:02:42, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:02:42, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:02:44, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:02:44, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:03:12, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
18:03:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
18:03:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, true, update
18:10:32, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:10:32, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:11:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:11:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:11:24, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:11:24, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:12:15, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:12:15, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:13:06, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:13:06, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:13:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:13:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:22:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:22:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:22:34, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:22:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:23:27, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:23:27, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:23:51, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:23:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:24:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:24:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:24:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:24:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:25:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:25:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:25:58, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:25:58, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:26:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:26:04, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:26:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:26:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
