17:57:24, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
17:58:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
17:58:38, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:00:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
18:01:08, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:01:41, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:01:41, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:02:24, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:02:27, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:02:50, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:02:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:02:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:02:50, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:02:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:03:21, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:03:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:03:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:03:43, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:03:43, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:03:43, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:09:08, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:09:08, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:10:32, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:10:32, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:10:32, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:10:48, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:10:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:11:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:11:23, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:11:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:12:16, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:12:16, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:12:19, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:12:19, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:12:19, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:17:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:17:26, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:17:26, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:18:39, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:18:39, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:19:38, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:19:38, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:21:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:21:20, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:26:03, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:26:03, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:26:03, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:26:05, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:26:05, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:26:40, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:26:40, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:27:19, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:27:19, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:27:55, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:27:55, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:28:40, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:28:40, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
