17:59:56, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
17:59:56, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
17:59:57, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:03, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
18:00:20, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:00:44, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, true, update
18:06:18, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:06:18, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:06:31, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:07:05, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:07:05, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:08:01, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:08:01, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:08:44, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:08:44, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:08:44, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:08:44, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:08:47, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:08:47, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:08:51, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:08:51, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:09:00, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:09:00, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:09:00, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:09:00, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:09:03, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:09:03, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:18:13, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:18:13, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:18:49, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:18:49, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:19:06, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:19:06, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:19:30, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:19:30, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:19:58, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:19:58, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:20:49, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:20:49, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:21:41, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:21:41, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:21:42, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:21:43, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:28:29, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
18:28:29, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
18:28:43, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:28:43, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
