17:56:19, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:56:20, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
17:57:15, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:57:17, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
17:57:26, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
17:59:03, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
17:59:05, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
17:59:44, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:00:05, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:48, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:00:51, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:51, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:00:51, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:00:51, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:00:53, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:02:13, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
18:02:13, 00:23:D4:6A:22:09, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
18:02:29, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:02:29, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:03:21, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:03:21, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:03:22, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:03:26, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:03:26, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:03:27, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:03:27, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:03:27, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:04:13, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:04:13, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:04:17, 00:23:D4:6A:22:09, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:04:17, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:04:18, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, bluetooth_network, true, update
18:04:18, 00:23:D4:6A:22:09, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:05:05, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:05:05, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:05:05, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:05:38, 00:23:D4:6A:22:09, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
