17:59:58, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:00:00, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:00:04, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, true, fresh
18:00:44, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:00:47, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:00:50, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:01:18, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
18:02:37, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:03:22, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
18:03:22, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
18:03:24, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:03:24, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:03:24, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:03:33, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:03:33, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:04:12, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
18:04:12, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
18:05:06, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
18:05:06, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:05:06, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, false, fresh
18:05:57, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:05:57, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:06:13, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:06:13, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:13:49, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:13:49, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:13:49, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:16:05, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:16:05, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
18:22:30, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:22:30, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:22:30, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:22:32, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
18:22:32, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, wifi_network, false, fresh
18:23:00, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
18:23:00, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
18:23:00, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, wifi_network, false, fresh
18:25:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
18:25:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
