03:47:01, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
03:48:15, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:48:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
03:48:36, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
03:49:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
03:49:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
03:49:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:49:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
03:49:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
03:49:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:49:43, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
03:49:46, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:50:18, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:50:18, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:50:44, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:50:44, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:50:46, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:50:46, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
03:55:26, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
03:55:26, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
03:55:28, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:55:29, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
03:55:29, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
03:56:08, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:56:08, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
03:56:20, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
03:56:20, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
03:57:11, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:57:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
03:57:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
03:58:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:58:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:58:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:58:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:58:50, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:58:51, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:59:15, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:59:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
03:59:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:59:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:59:43, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
04:00:19, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:00:19, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:00:34, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:00:37, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:01:25, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:01:25, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:02:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:02:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:02:11, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:02:11, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:02:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:02:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:02:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:02:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:09:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:09:09, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:09:54, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:09:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:09:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:10:01, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:10:01, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:10:02, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:10:02, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:10:48, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:10:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:11:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:11:07, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
04:11:42, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:12:15, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:12:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:12:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:12:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:17:22, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:17:22, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:17:25, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:17:25, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:19:33, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:20:16, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:20:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:20:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:20:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:25:28, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:25:28, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:25:54, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:25:54, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:26:51, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:26:51, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:28:08, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:29:25, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:29:25, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:34:03, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:34:03, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:34:03, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:34:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:34:45, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:35:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
04:35:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:38:06, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:42:38, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:43:15, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:44:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:44:10, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:44:11, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:45:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:45:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:45:59, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:46:51, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:51:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:51:13, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:52:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:52:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:54:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:54:13, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:54:58, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:01:49, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:02:36, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:08:25, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:10:03, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:10:05, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
05:10:05, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
05:10:23, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:11:46, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:12:17, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:12:17, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
