03:48:41, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:48:41, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
03:48:46, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:48:46, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
03:48:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
03:48:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
03:49:22, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
03:49:22, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
03:50:31, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, fresh
03:51:02, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:51:02, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
03:51:23, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:51:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:51:23, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
03:51:58, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:52:00, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:52:00, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:53:05, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:53:06, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
03:53:06, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
03:54:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:54:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:59:05, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:59:09, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
03:59:27, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:59:27, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:00:22, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:00:22, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:00:23, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:00:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:01:10, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:02:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:02:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:02:11, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:02:11, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:07:45, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
04:07:45, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
04:08:33, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:08:34, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:10:41, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:10:45, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:10:45, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:11:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:11:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:11:12, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:17:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:17:12, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:17:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:17:30, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:17:31, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:18:03, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:18:03, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:18:22, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:18:53, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:19:04, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:19:04, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:19:35, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:19:35, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:20:24, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
04:20:52, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:20:52, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:22:09, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:22:24, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:29:15, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:29:15, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:29:15, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
