03:47:59, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
03:48:02, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
03:48:07, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
03:48:08, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:48:54, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:48:54, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:49:00, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:49:00, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:49:46, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
03:49:46, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
03:50:38, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
03:50:39, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:50:39, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
03:51:21, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:51:21, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
03:51:27, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:51:27, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:52:08, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:52:08, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
03:53:04, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
03:53:04, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
