12:51:38, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
12:52:30, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:53:01, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
12:53:21, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:53:22, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
12:54:33, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:55:04, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:55:06, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
12:55:06, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
12:55:29, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:55:55, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:56:10, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:56:47, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
12:57:28, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:57:28, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
12:57:30, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
12:57:30, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
12:57:38, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:57:38, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
12:57:39, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
12:58:17, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
12:58:17, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
12:58:36, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:58:36, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
12:59:23, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
12:59:24, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
12:59:49, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
12:59:49, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:00:39, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:00:39, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:01:06, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:01:06, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:01:56, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:01:56, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:02:34, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:02:34, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:04:28, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:04:28, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:06:02, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:06:02, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:06:03, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
