12:52:31, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:53:02, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:54:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:54:04, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
12:54:04, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
12:54:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:55:05, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:55:07, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
12:55:07, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
12:55:15, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
12:56:27, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:57:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
12:57:21, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
12:57:39, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
12:57:40, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
12:58:07, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
12:58:07, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
12:58:19, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:04:56, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:04:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:04:59, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:04:59, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:05:10, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:05:10, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:05:55, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:05:55, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:05:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:05:57, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:06:53, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:06:53, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:08:00, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:08:00, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:13:28, 00:23:D4:6A:B6:B9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:13:29, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
