14:05:06, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:06:24, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:07:43, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:07:44, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:09:05, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:09:05, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:09:06, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:09:06, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:10:13, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:10:13, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:10:40, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:11:24, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:11:25, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:11:34, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:11:34, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:12:27, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:12:32, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:12:32, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:14:06, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:14:51, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:14:51, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:15:18, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:15:18, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:15:20, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:15:20, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:16:25, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:16:25, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:17:14, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:17:14, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:17:31, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:17:31, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:18:22, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:18:22, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:19:16, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:19:16, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:19:59, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:19:59, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:20:04, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:20:04, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:20:38, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:20:38, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:20:57, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:20:57, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:20:58, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:20:58, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:21:50, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:21:50, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:23:31, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:23:31, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:23:32, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:23:32, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:23:54, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
