14:08:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:08:15, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:08:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:08:20, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:08:20, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:08:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:09:58, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:09:58, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:10:49, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:10:49, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:11:09, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:11:09, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:11:40, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:11:40, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:11:41, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:11:41, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:12:06, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:12:06, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:12:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
14:12:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:12:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, true, update
14:12:36, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:17:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:17:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:18:20, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:18:20, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:19:10, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:19:10, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:19:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:19:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:19:42, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:19:42, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:19:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:19:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:20:13, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:20:13, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:25:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:25:12, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:25:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:25:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:26:51, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:26:51, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:27:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:27:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:28:16, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
