Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
08:36:22 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
08:36:29, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, qwerty, GARBAGE, bluetooth discovery, true, fresh, 1
08:36:37, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, fresh, 2
08:36:42, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:36:42, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:37:08, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:37:08, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:37:32, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, old, 2
08:37:44, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:37:44, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:38:19, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:38:19, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:38:55, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:38:55, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
08:42:10 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
08:42:17, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, phone, 192.168.1.3, wifi_network, true, fresh, 1
08:42:26, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, fresh, 2
08:42:26, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:42:27, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, phone, 192.168.1.3, wifi_network, true, old, 2
08:42:30, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:42:30, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:42:30, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:42:30, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:42:32, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, phone, 192.168.1.3, wifi_network, true, old, 2
08:42:32, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:42:32, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, qwerty, GARBAGE, bluetooth discovery, true, old, 2
08:42:56, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:42:56, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:43:32, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:43:32, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:44:08, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:44:08, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:44:42, 00:23:D4:6A:87:DE, 00:23:D4:6A:E5:21, phone, 192.168.1.4, wifi_network, true, fresh, 3
08:46:04, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
08:47:28 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
08:47:34, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, phone, 192.168.1.3, wifi_network, true, fresh, 1
08:47:35, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, fresh, 2
08:47:36, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, qwerty, GARBAGE, bluetooth discovery, true, old, 2
08:47:37, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, phone, 192.168.1.3, wifi_network, true, old, 2
08:47:45, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, phone, 192.168.1.1, wifi_network, true, old, 2
08:47:45, 00:23:D4:6A:87:DE, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
08:47:53, 00:23:D4:6A:87:DE, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, old, 2
