Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
19:22:59 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:23:18, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, GARBAGE, bluetooth discovery, true, fresh, 1
19:23:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, GARBAGE, bluetooth discovery, true, fresh, 2
Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
19:25:21 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:25:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 192.168.1.2, wifi_network, true, fresh, 1
19:25:41, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, GARBAGE, bluetooth discovery, true, fresh, 2
19:25:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 192.168.1.2, wifi_network, true, old, 2
19:25:43, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, GARBAGE IP, wifi_network, true, fresh, 3
19:25:43, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, GARBAGE IP, wifi_network, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:27:08 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:27:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth discovery, true, fresh, 1
19:27:30, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, phone, 192.168.1.3, wifi_network, true, fresh, 2
19:27:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 2
19:30:21, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth_network, true, old, 2
19:32:11, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, old, 2
19:35:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, phone, 192.168.1.1, wifi_network, true, fresh, 3
19:36:21, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, phone, 192.168.1.1, wifi_network, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:45:26 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:45:31, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, fresh, 1
19:45:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth discovery, true, fresh, 2
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:46:54 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:47:00, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, fresh, 1
19:47:01, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth discovery, true, fresh, 2
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:48:38 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:48:43, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth discovery, true, fresh, 1
19:48:44, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, fresh, 2
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:49:15 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 3
19:49:22, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth discovery, true, fresh, 1
19:49:23, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth discovery, true, fresh, 2
19:49:25, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, phone, 192.168.1.2, wifi_network, true, old, 2
19:49:25, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, fresh, 3
19:51:37, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, 11, GARBAGE, bluetooth_network, true, old, 3
19:51:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth_network, true, old, 3
19:53:30, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, phone, 192.168.1.2, wifi_network, true, old, 3
19:53:31, 00:23:D4:68:E1:E9, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:53:31, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:59:46, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, 13, GARBAGE, bluetooth_network, true, old, 3
