21:21:11, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:21:12, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:21:14, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:21:14, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:22:52, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:22:54, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:23:12, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:23:14, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:23:14, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:23:17, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:23:17, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:23:19, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:23:19, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:24:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:24:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:24:12, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:25:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:25:13, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:25:15, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:25:15, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:26:00, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:26:00, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:26:03, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:26:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:26:18, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:26:20, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:26:43, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:27:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:27:53, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:27:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:28:24, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:28:26, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:28:26, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:28:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:28:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:28:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:28:59, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:29:29, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:29:29, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:29:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:29:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:29:49, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:29:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:29:51, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:30:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:30:31, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:30:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:30:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:31:20, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
21:31:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
21:31:22, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
