01:24:34, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:24:49, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
01:24:53, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:24:53, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:24:53, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:24:53, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:25:38, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:38, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:38, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:25:38, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:25:38, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:43, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:43, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:43, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:43, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:44, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:25:44, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:25:44, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, true, update
01:27:22, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
01:27:39, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:27:39, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:28:04, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:28:04, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:28:09, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:28:09, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:30:38, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:30:38, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:30:39, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
