01:22:43, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
01:22:43, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:22:45, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:22:45, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:22:45, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:22:45, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:22:45, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:22:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, fresh
01:23:25, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:23:25, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:15, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:15, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:16, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:16, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:16, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:25:56, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:25:56, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:56, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:25:56, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:25:56, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:26:48, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
01:26:48, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
01:27:51, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:27:51, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:27:51, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, update
01:28:06, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:28:06, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:28:07, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
01:28:07, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
01:28:07, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:28:52, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:28:52, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:28:52, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:29:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:29:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:29:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:29:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:29:17, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:29:57, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:29:57, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:29:58, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:29:58, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:31:02, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:31:02, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
