01:22:55, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
01:24:53, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:24:53, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:24:53, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:24:53, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:24:54, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:26:34, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:26:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
01:26:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, wifi_network, false, fresh
01:26:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:26:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:26:38, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:26:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:27:23, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:27:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:27:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:27:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:27:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:27:24, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:27:45, 00:23:D4:68:E1:E9, 00:23:D4:69:79:1C, bluetooth_network, true, update
01:35:06, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:35:06, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:35:07, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:36:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:36:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:36:31, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:36:32, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:36:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
01:36:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
01:36:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:36:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:36:37, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
01:36:37, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
01:36:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
01:36:39, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
01:38:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
01:38:17, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
