19:43:17, 00:23:D4:6A:87:DE, 192.168.1.3, false
19:43:19, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:03:33, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:04:56, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:04:56, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:04:58, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:04:58, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:05:38, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:05:41, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:05:41, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:06:20, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:07:02, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:07:03, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:07:06, 00:23:D4:6A:87:DE, 192.168.1.15, false
20:07:06, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:07:44, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:07:48, 00:23:D4:6A:87:DE, 192.168.1.15, false
20:07:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:08:27, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:09:50, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:09:50, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:09:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:10:32, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:10:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:11:14, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:11:14, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:11:14, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:11:54, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:11:55, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:11:55, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:11:55, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:11:57, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:14:45, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:14:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:15:25, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:15:28, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:15:28, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:16:06, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:16:09, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:16:49, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:16:49, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:16:51, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:17:31, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:18:15, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:20:18, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:20:18, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:21:00, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:21:00, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:21:01, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:21:03, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:21:42, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:21:46, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:21:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:22:24, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:23:06, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:23:06, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:24:30, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:24:30, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:24:31, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:25:12, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:25:54, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:25:55, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:25:56, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:26:36, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:26:37, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:26:38, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:27:18, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:27:19, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:27:20, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:30:07, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:30:48, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:30:49, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:30:50, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:31:31, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:32:11, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:32:12, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:32:12, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:32:13, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:32:14, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:32:53, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:34:59, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:35:00, 00:23:D4:6A:87:DE, 192.168.1.12, false
20:35:00, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:37:05, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:37:08, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:37:48, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:37:50, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:37:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:39:53, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:39:56, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:39:56, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:40:34, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:40:36, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:40:37, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:40:38, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:40:38, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:41:17, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:41:18, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:41:19, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:41:20, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:41:20, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:41:59, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:41:59, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:42:01, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:42:02, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:42:02, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:42:40, 00:23:D4:6A:87:DE, 192.168.1.15, true
20:42:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:44:04, 00:23:D4:6A:87:DE, 192.168.1.15, true
20:44:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:44:04, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:44:47, 00:23:D4:6A:87:DE, 192.168.1.5, false
20:44:49, 00:23:D4:6A:87:DE, 192.168.1.3, false
