19:58:29, 00:23:D4:6A:BF:DE, 192.168.1.3, false
19:59:11, 00:23:D4:6A:BF:DE, 192.168.1.3, false
19:59:52, 00:23:D4:6A:BF:DE, 192.168.1.12, false
19:59:54, 00:23:D4:6A:BF:DE, 192.168.1.16, false
19:59:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:01:19, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:01:19, 00:23:D4:6A:BF:DE, 192.168.1.16, false
20:01:19, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:01:59, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:02:01, 00:23:D4:6A:BF:DE, 192.168.1.15, false
20:02:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:02:01, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:02:39, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:02:43, 00:23:D4:6A:BF:DE, 192.168.1.15, false
20:02:43, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:02:43, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:03:21, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:03:21, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:03:23, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:04:45, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:04:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:05:31, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:06:09, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:06:09, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:06:13, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:06:53, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:06:55, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:07:37, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:09:43, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:10:23, 00:23:D4:6A:BF:DE, 192.168.1.16, false
20:10:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:10:25, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:11:04, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:11:06, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:11:47, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:11:48, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:12:30, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:13:54, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:13:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:14:36, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:15:56, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:15:58, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:16:00, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:16:42, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:16:42, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:16:42, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:17:24, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:17:24, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:17:24, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:18:02, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:18:02, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:18:44, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:18:44, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:19:26, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:19:26, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:19:30, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:20:12, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:20:50, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:20:52, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:20:54, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:21:32, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:21:34, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:21:36, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:22:14, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:22:16, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:22:18, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:24:24, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:25:44, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:25:46, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:25:48, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:27:07, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:27:07, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:27:08, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:27:09, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:27:11, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:29:17, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:29:55, 00:23:D4:6A:BF:DE, 192.168.1.12, false
20:29:55, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:30:41, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:31:23, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:32:03, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:32:05, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:32:43, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:32:46, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:32:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:34:11, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:34:52, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:34:52, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:34:53, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:35:31, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:35:33, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:35:34, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:35:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:35:34, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:36:13, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:36:15, 00:23:D4:6A:BF:DE, 192.168.1.3, false
20:36:16, 00:23:D4:6A:BF:DE, 192.168.1.14, true
20:36:16, 00:23:D4:6A:BF:DE, GARBAGE IP, true
20:36:16, 00:23:D4:6A:BF:DE, 192.168.1.1, false
20:36:55, 00:23:D4:6A:BF:DE, 192.168.1.5, false
20:36:57, 00:23:D4:6A:BF:DE, 192.168.1.3, false
