1260560569366, 18:00:00, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4119
Searchlight Schedule  t=7
1260561009768, 18:07:20, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4114
1260561219149, 18:10:49, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4108
1260561548836, 18:16:19, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4102
1260562058304, 18:24:49, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4089
1260562358004, 18:29:48, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4072
1260562687707, 18:35:18, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4071
1260562897496, 18:38:48, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4070
1260563317063, 18:45:47, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4065
1260563616788, 18:50:47, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4058
1260563706706, 18:52:17, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4056
1260563826574, 18:54:17, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4048
1260564426052, 19:04:16, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4033
1260564545977, 19:06:16, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4040
1260565055403, 19:14:46, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4022
1260565385043, 19:20:15, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4024
1260565475014, 19:21:45, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4016
1260565894570, 19:28:45, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4007
1260566104364, 19:32:15, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4010
1260566614015, 19:40:44, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4001
1260566823783, 19:44:14, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3988
1260567363337, 19:53:14, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3984
1260567662994, 19:58:13, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3978
1260567872657, 20:01:43, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3980
1260568022520, 20:04:13, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3961
1260568292237, 20:08:43, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3964
1260569011510, 20:20:42, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3955
1260569431328, 20:27:42, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3953
1260570060511, 20:38:11, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3938
1260570270364, 20:41:41, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3941
1260570360167, 20:43:11, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3962
1260570989577, 20:53:40, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3929
1260571529066, 21:02:39, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3913
1260572248357, 21:14:39, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3911
1260572458248, 21:18:09, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3907
1260572578018, 21:20:08, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3904
1260573087512, 21:28:38, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3901
1260573597016, 21:37:07, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3884
1260573926763, 21:42:37, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3883
1260574136536, 21:46:07, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3874
1260574556103, 21:53:06, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3869
1260574975688, 22:00:06, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3864
1260575485202, 22:08:36, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3856
1260575695007, 22:12:05, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3850
1260576624063, 22:27:34, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3836
1260576833860, 22:31:04, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3833
1260577163568, 22:36:34, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3830
1260577373318, 22:40:04, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3823
1260577703003, 22:45:33, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3818
1260578092643, 22:52:03, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3813
1260578302502, 22:55:33, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3808
1260578931842, 23:06:02, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3799
1260579141594, 23:09:32, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3793
1260579471297, 23:15:02, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3800
1260580280521, 23:28:31, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3790
1260580333829, 23:29:24, Battery: level = 46, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3831
1260580342393, 23:29:33, Battery: level = 46, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3882
