20:03:38, 00:23:D4:6A:E5:21, 192.168.1.16, false
20:03:39, 00:23:D4:6A:E5:21, 192.168.1.14, false
20:05:03, 00:23:D4:6A:E5:21, 192.168.1.16, false
20:05:03, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:05:05, 00:23:D4:6A:E5:21, 192.168.1.1, false
20:05:06, 00:23:D4:6A:E5:21, 192.168.1.2, false
20:07:10, 00:23:D4:6A:E5:21, 192.168.1.19, true
20:07:53, 00:23:D4:6A:E5:21, 192.168.1.1, false
20:08:32, 00:23:D4:6A:E5:21, GARBAGE, false
20:08:34, 00:23:D4:6A:E5:21, 192.168.1.19, true
20:08:34, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:08:34, 00:23:D4:6A:E5:21, 192.168.1.5, false
20:09:58, 00:23:D4:6A:E5:21, 192.168.1.19, true
20:09:58, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:10:00, 00:23:D4:6A:E5:21, 192.168.1.2, false
20:10:40, 00:23:D4:6A:E5:21, 192.168.1.19, true
20:10:40, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:11:22, 00:23:D4:6A:E5:21, 192.168.1.19, true
20:11:22, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:11:23, 00:23:D4:6A:E5:21, 192.168.1.5, false
20:11:24, 00:23:D4:6A:E5:21, 192.168.1.2, false
20:15:03, 00:23:D4:6A:E5:21, 192.168.1.2, false
20:18:48, 00:23:D4:6A:E5:21, 192.168.1.19, true
20:18:49, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:21:10, 00:23:D4:6A:E5:21, 192.168.1.1, false
20:21:10, 00:23:D4:6A:E5:21, 192.168.1.5, false
20:21:10, 00:23:D4:6A:E5:21, 192.168.1.2, false
20:21:52, 00:23:D4:6A:E5:21, 192.168.1.5, false
20:22:34, 00:23:D4:6A:E5:21, 192.168.1.5, false
20:23:15, 00:23:D4:6A:E5:21, 192.168.1.1, false
20:23:57, 00:23:D4:6A:E5:21, 192.168.1.15, false
20:23:57, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:23:58, 00:23:D4:6A:E5:21, 192.168.1.1, false
20:23:58, 00:23:D4:6A:E5:21, 192.168.1.2, false
