20:05:05, 00:23:D4:6A:22:09, 192.168.1.3, false
20:05:08, 00:23:D4:6A:22:09, 192.168.1.15, false
20:05:47, 00:23:D4:6A:22:09, 192.168.1.3, false
20:06:29, 00:23:D4:6A:22:09, 192.168.1.3, false
20:06:32, 00:23:D4:6A:22:09, 192.168.1.15, false
20:06:32, 00:23:D4:6A:22:09, GARBAGE IP, true
20:08:04, 00:23:D4:6A:22:09, GARBAGE, false
20:17:22, 00:23:D4:6A:22:09, GARBAGE, false
20:19:02, 00:23:D4:6A:22:09, 192.168.1.2, false
20:19:47, 00:23:D4:6A:22:09, 192.168.1.3, false
20:20:26, 00:23:D4:6A:22:09, 192.168.1.1, false
20:20:29, 00:23:D4:6A:22:09, 192.168.1.3, false
20:21:08, 00:23:D4:6A:22:09, 192.168.1.1, false
20:21:08, 00:23:D4:6A:22:09, 192.168.1.2, false
20:21:11, 00:23:D4:6A:22:09, 192.168.1.3, false
20:21:50, 00:23:D4:6A:22:09, 192.168.1.1, false
20:21:50, 00:23:D4:6A:22:09, 192.168.1.2, false
20:21:53, 00:23:D4:6A:22:09, 192.168.1.3, false
20:22:35, 00:23:D4:6A:22:09, 192.168.1.3, false
20:22:35, 00:23:D4:6A:22:09, 192.168.1.16, false
20:22:35, 00:23:D4:6A:22:09, GARBAGE IP, true
20:23:14, 00:23:D4:6A:22:09, 192.168.1.2, false
20:23:15, 00:23:D4:6A:22:09, 192.168.1.5, false
20:26:47, 00:23:D4:6A:22:09, GARBAGE, false
20:36:13, 00:23:D4:6A:22:09, GARBAGE, false
20:37:55, 00:23:D4:6A:22:09, 192.168.1.2, false
20:37:56, 00:23:D4:6A:22:09, 192.168.1.5, false
20:39:18, 00:23:D4:6A:22:09, 192.168.1.1, false
20:39:22, 00:23:D4:6A:22:09, 192.168.1.3, false
20:40:00, 00:23:D4:6A:22:09, 192.168.1.1, false
20:40:02, 00:23:D4:6A:22:09, 192.168.1.5, false
20:40:03, 00:23:D4:6A:22:09, 192.168.1.3, false
20:40:42, 00:23:D4:6A:22:09, 192.168.1.1, false
20:40:42, 00:23:D4:6A:22:09, 192.168.1.2, false
20:40:44, 00:23:D4:6A:22:09, 192.168.1.5, false
20:40:45, 00:23:D4:6A:22:09, 192.168.1.3, false
20:41:24, 00:23:D4:6A:22:09, 192.168.1.1, false
20:41:25, 00:23:D4:6A:22:09, 192.168.1.2, false
20:41:26, 00:23:D4:6A:22:09, 192.168.1.5, false
20:41:27, 00:23:D4:6A:22:09, 192.168.1.3, false
20:42:06, 00:23:D4:6A:22:09, 192.168.1.1, false
20:42:07, 00:23:D4:6A:22:09, 192.168.1.2, false
20:42:08, 00:23:D4:6A:22:09, 192.168.1.5, false
20:42:09, 00:23:D4:6A:22:09, 192.168.1.3, false
20:45:39, 00:23:D4:6A:22:09, GARBAGE, false
20:55:03, 00:23:D4:6A:22:09, GARBAGE, false
20:56:46, 00:23:D4:6A:22:09, 192.168.1.3, false
20:56:46, 00:23:D4:6A:22:09, 192.168.1.1, false
20:56:47, 00:23:D4:6A:22:09, 192.168.1.2, false
20:58:11, 00:23:D4:6A:22:09, 192.168.1.2, false
20:58:52, 00:23:D4:6A:22:09, 192.168.1.3, false
20:58:53, 00:23:D4:6A:22:09, 192.168.1.1, false
20:59:34, 00:23:D4:6A:22:09, 192.168.1.1, false
20:59:35, 00:23:D4:6A:22:09, 192.168.1.2, false
21:00:16, 00:23:D4:6A:22:09, 192.168.1.1, false
21:00:57, 00:23:D4:6A:22:09, 192.168.1.3, false
21:00:58, 00:23:D4:6A:22:09, 192.168.1.1, false
21:00:59, 00:23:D4:6A:22:09, 192.168.1.2, false
21:04:27, 00:23:D4:6A:22:09, GARBAGE, false
21:06:11, 00:23:D4:6A:22:09, 192.168.1.19, true
21:06:11, 00:23:D4:6A:22:09, GARBAGE IP, true
21:13:52, 00:23:D4:6A:22:09, GARBAGE, false
21:15:34, 00:23:D4:6A:22:09, 192.168.1.1, false
21:17:41, 00:23:D4:6A:22:09, 192.168.1.2, false
21:19:04, 00:23:D4:6A:22:09, 192.168.1.1, false
21:19:05, 00:23:D4:6A:22:09, 192.168.1.2, false
21:19:45, 00:23:D4:6A:22:09, 192.168.1.4, false
21:19:46, 00:23:D4:6A:22:09, 192.168.1.1, false
21:19:47, 00:23:D4:6A:22:09, 192.168.1.2, false
21:23:17, 00:23:D4:6A:22:09, GARBAGE, false
21:24:58, 00:23:D4:6A:22:09, 192.168.1.5, false
21:24:59, 00:23:D4:6A:22:09, 192.168.1.19, true
21:24:59, 00:23:D4:6A:22:09, GARBAGE IP, true
21:25:40, 00:23:D4:6A:22:09, 192.168.1.5, false
21:26:22, 00:23:D4:6A:22:09, 192.168.1.5, false
21:27:04, 00:23:D4:6A:22:09, 192.168.1.5, false
21:29:10, 00:23:D4:6A:22:09, 192.168.1.5, false
21:32:44, 00:23:D4:6A:22:09, GARBAGE, false
21:34:27, 00:23:D4:6A:22:09, 192.168.1.1, false
21:35:50, 00:23:D4:6A:22:09, 192.168.1.1, false
21:37:56, 00:23:D4:6A:22:09, 192.168.1.19, true
21:37:56, 00:23:D4:6A:22:09, GARBAGE IP, true
21:42:05, 00:23:D4:6A:22:09, GARBAGE, false
21:51:31, 00:23:D4:6A:22:09, GARBAGE, false
