20:06:50, 00:23:D4:68:E1:E9, 192.168.1.12, false
20:07:30, 00:23:D4:68:E1:E9, 192.168.1.5, false
20:09:37, 00:23:D4:68:E1:E9, 192.168.1.5, false
20:11:01, 00:23:D4:68:E1:E9, GARBAGE, false
20:11:01, 00:23:D4:68:E1:E9, 192.168.1.5, false
20:15:35, 00:23:D4:68:E1:E9, GARBAGE, false
20:18:36, 00:23:D4:68:E1:E9, 192.168.1.12, false
20:18:36, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:19:18, 00:23:D4:68:E1:E9, 192.168.1.12, false
20:19:18, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:19:59, 00:23:D4:68:E1:E9, 192.168.1.12, false
20:20:00, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:32:15, 00:23:D4:68:E1:E9, 192.168.1.4, false
20:41:23, 00:23:D4:68:E1:E9, 192.168.1.4, false
20:44:51, 00:23:D4:68:E1:E9, 192.168.1.13, true
20:44:51, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:46:15, 00:23:D4:68:E1:E9, 192.168.1.13, true
20:46:15, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:46:36, 00:23:D4:68:E1:E9, GARBAGE, false
20:50:59, 00:23:D4:68:E1:E9, GARBAGE, false
20:53:58, 00:23:D4:68:E1:E9, 192.168.1.4, false
20:54:39, 00:23:D4:68:E1:E9, 192.168.1.4, false
20:55:21, 00:23:D4:68:E1:E9, 192.168.1.4, false
20:55:22, 00:23:D4:68:E1:E9, 192.168.1.15, false
20:55:22, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:56:02, 00:23:D4:68:E1:E9, 192.168.1.5, false
20:56:03, 00:23:D4:68:E1:E9, 192.168.1.4, false
20:56:04, 00:23:D4:68:E1:E9, 192.168.1.15, false
20:56:04, 00:23:D4:68:E1:E9, GARBAGE IP, true
20:56:44, 00:23:D4:68:E1:E9, 192.168.1.5, false
20:56:44, 00:23:D4:68:E1:E9, 192.168.1.4, false
21:00:11, 00:23:D4:68:E1:E9, GARBAGE, false
21:06:03, 00:23:D4:68:E1:E9, 192.168.1.14, true
21:06:03, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:09:34, 00:23:D4:68:E1:E9, GARBAGE, false
21:11:17, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:11:19, 00:23:D4:68:E1:E9, 192.168.1.2, false
21:12:01, 00:23:D4:68:E1:E9, 192.168.1.2, false
21:12:43, 00:23:D4:68:E1:E9, 192.168.1.2, false
21:13:23, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:14:05, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:14:47, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:14:47, 00:23:D4:68:E1:E9, 192.168.1.3, false
21:15:28, 00:23:D4:68:E1:E9, 192.168.1.14, true
21:15:28, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:15:29, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:15:30, 00:23:D4:68:E1:E9, 192.168.1.3, false
21:18:58, 00:23:D4:68:E1:E9, GARBAGE, false
21:24:53, 00:23:D4:68:E1:E9, 192.168.1.14, true
21:24:53, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:26:43, 00:23:D4:68:E1:E9, GARBAGE, false
21:36:07, 00:23:D4:68:E1:E9, GARBAGE, false
21:37:49, 00:23:D4:68:E1:E9, 192.168.1.14, true
21:37:49, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:38:33, 00:23:D4:68:E1:E9, 192.168.1.4, false
21:38:34, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:39:15, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:45:30, 00:23:D4:68:E1:E9, GARBAGE, false
21:50:02, 00:23:D4:68:E1:E9, 192.168.1.12, true
21:50:02, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:54:54, 00:23:D4:68:E1:E9, GARBAGE, false
21:56:36, 00:23:D4:68:E1:E9, 192.168.1.14, true
21:56:36, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:56:39, 00:23:D4:68:E1:E9, 192.168.1.1, false
21:57:18, 00:23:D4:68:E1:E9, 192.168.1.14, true
21:57:18, 00:23:D4:68:E1:E9, GARBAGE IP, true
21:58:00, 00:23:D4:68:E1:E9, 192.168.1.4, false
22:04:16, 00:23:D4:68:E1:E9, GARBAGE, false
22:05:57, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:05:57, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:07:20, 00:23:D4:68:E1:E9, 192.168.1.3, false
22:08:44, 00:23:D4:68:E1:E9, 192.168.1.3, false
22:08:45, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:08:45, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:10:08, 00:23:D4:68:E1:E9, 192.168.1.3, false
22:13:38, 00:23:D4:68:E1:E9, GARBAGE, false
22:15:20, 00:23:D4:68:E1:E9, 192.168.1.14, true
22:15:20, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:18:07, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:18:07, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:23:00, 00:23:D4:68:E1:E9, GARBAGE, false
22:24:41, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:24:41, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:24:43, 00:23:D4:68:E1:E9, 192.168.1.1, false
22:26:08, 00:23:D4:68:E1:E9, 192.168.1.2, false
22:28:54, 00:23:D4:68:E1:E9, 192.168.1.1, false
22:32:21, 00:23:D4:68:E1:E9, GARBAGE, false
22:35:28, 00:23:D4:68:E1:E9, 192.168.1.15, true
22:35:28, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:38:16, 00:23:D4:68:E1:E9, 192.168.1.15, true
22:38:16, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:41:44, 00:23:D4:68:E1:E9, GARBAGE, false
22:43:25, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:43:25, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:44:48, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:44:49, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:51:05, 00:23:D4:68:E1:E9, GARBAGE, false
22:52:47, 00:23:D4:68:E1:E9, 192.168.1.12, true
22:52:47, 00:23:D4:68:E1:E9, GARBAGE IP, true
22:54:11, 00:23:D4:68:E1:E9, 192.168.1.3, false
22:56:17, 00:23:D4:68:E1:E9, 192.168.1.3, false
23:00:27, 00:23:D4:68:E1:E9, GARBAGE, false
23:02:08, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:02:08, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:03:32, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:03:32, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:09:48, 00:23:D4:68:E1:E9, GARBAGE, false
23:12:12, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:12:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:12:53, 00:23:D4:68:E1:E9, 192.168.1.2, false
23:12:56, 00:23:D4:68:E1:E9, 192.168.1.1, false
23:19:08, 00:23:D4:68:E1:E9, GARBAGE, false
23:28:29, 00:23:D4:68:E1:E9, GARBAGE, false
23:30:11, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:30:53, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:31:35, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:32:17, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:32:18, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:32:18, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:32:59, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:33:00, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:33:00, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:33:41, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:34:23, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:37:51, 00:23:D4:68:E1:E9, GARBAGE, false
23:39:31, 00:23:D4:68:E1:E9, 192.168.1.2, false
23:39:33, 00:23:D4:68:E1:E9, 192.168.1.4, false
23:39:34, 00:23:D4:68:E1:E9, 192.168.1.3, false
23:40:56, 00:23:D4:68:E1:E9, 192.168.1.4, false
23:40:58, 00:23:D4:68:E1:E9, 192.168.1.3, false
23:41:37, 00:23:D4:68:E1:E9, 192.168.1.2, false
23:41:38, 00:23:D4:68:E1:E9, 192.168.1.4, false
23:41:39, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:41:39, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:41:40, 00:23:D4:68:E1:E9, 192.168.1.3, false
